epoch,train_loss,train_accuracy,validation_loss,validation_accuracy,epoch_time_seconds
1,0.28175813466972777,0.8831111111111111,0.13204321455955506,0.948,132.2536355000002
2,0.08912036539779769,0.9677777777777777,0.08892437481880187,0.967,90.89532839999993
3,0.05106364264835914,0.9797777777777777,0.1221859067576006,0.96,89.36443729999974
4,0.044188290659752154,0.9837777777777778,0.10616391901252792,0.966,90.02417070000001
5,0.026597686449065804,0.9913333333333333,0.0706820712806657,0.974,89.5283703
6,0.015579117003724807,0.9955555555555555,0.06067162090400234,0.982,89.06162799999993
7,0.01768367005010239,0.9937777777777778,0.08235644306614995,0.975,88.34511290000046
8,0.01404612718646725,0.9944444444444445,0.07565774920629337,0.979,89.72629909999978
9,0.009462574401960916,0.9975555555555555,0.08862959571304964,0.98,88.76243069999964
10,0.010547961941564507,0.9962222222222222,0.08327407139277784,0.973,88.88579799999934
11,0.0077478778322175555,0.9966666666666667,0.06126585658499971,0.982,90.3297134000004
