epoch,train_loss,train_accuracy,validation_loss,validation_accuracy,epoch_time_seconds,learning_rate
1,0.6852057528495789,0.5322222222222223,0.6776083874702453,0.588,126.6118936999992,1e-05
2,0.6405214500427246,0.6002222222222222,0.6098083128929138,0.724,112.02905979999923,3.9999999999999996e-05
3,0.5687290783193376,0.6602222222222223,0.5187399911880494,0.785,126.46583690000261,7e-05
4,0.49098518514633177,0.6813333333333333,0.42502850675582887,0.861,131.5199627999973,0.0001
5,0.44813536341985066,0.7115555555555556,0.37011280250549317,0.901,134.4414312999943,9.949107209404665e-05
6,0.41732712750964696,0.6986666666666667,0.3383297905921936,0.927,136.24267030000192,9.797464868072488e-05
7,0.3991306288772159,0.7204444444444444,0.3315489401817322,0.924,126.58602109999629,9.548159976772592e-05
8,0.4034851343366835,0.7175555555555555,0.31856822872161866,0.941,117.44362859999819,9.206267664155907e-05
9,0.39658915898534985,0.7375555555555555,0.3003852796554565,0.955,119.87555489999795,8.778747871771291e-05
10,0.3787473416858249,0.7142222222222222,0.2982012667655945,0.952,132.50277880000067,8.274303669726426e-05
11,0.38452986624505786,0.7393333333333333,0.3021381297111511,0.944,135.19631700000173,7.703204087277988e-05
12,0.3515085570547316,0.738,0.28703424882888795,0.954,124.05592459999752,7.077075065009433e-05
13,0.3577742150624593,0.7544444444444445,0.30210167169570923,0.94,120.55883170000016,6.408662784207149e-05
14,0.3535954175260332,0.7317777777777777,0.27780991077423095,0.958,109.63139679999585,5.711574191366425e-05
15,0.35524694413608976,0.7477777777777778,0.2949774284362793,0.949,122.45923340000445,5.000000000000001e-05
16,0.33359711021847194,0.7384444444444445,0.2685034296512604,0.967,117.74236969999765,4.288425808633574e-05
17,0.3515152426030901,0.7486666666666667,0.28746136236190795,0.957,124.12189740000031,3.5913372157928504e-05
18,0.3539529795381758,0.736,0.28135727262496946,0.958,115.14866139999504,2.9229249349905677e-05
19,0.33642197902997334,0.7495555555555555,0.27491552209854125,0.959,116.73362500000076,2.2967959127220133e-05
20,0.3388682600127326,0.7206666666666667,0.29287909078598023,0.949,121.40488319999713,1.7256963302735748e-05
21,0.35136759901046755,0.7551111111111111,0.29021414947509766,0.953,125.30608149999898,1.2212521282287092e-05
22,0.3531336688465542,0.7522222222222222,0.29677673530578613,0.951,121.88548499999888,7.937323358440945e-06
