model,level,in_domain_accuracy,cross_generator_accuracy,generalization_gap,in_domain_f1,cross_generator_f1,f1_gap
mobilenetv3,3,0.96,0.778,0.18199999999999994,0.9591836734693877,0.8109028960817717,0.14828077738761603
resnet50,3,0.969,0.768,0.20099999999999996,0.9684638860630722,0.8053691275167785,0.16309475854629374
efficientnetv2,3,0.97,0.732,0.238,0.9694501018329938,0.7817589576547231,0.1876911441782707
vit,3,0.983,0.706,0.277,0.9829488465396189,0.7699530516431925,0.2129957948964264
