model,level,in_domain_accuracy,cross_generator_accuracy,generalization_gap,in_domain_f1,cross_generator_f1,f1_gap
mobilenetv3,2,0.98,0.662,0.31799999999999995,0.9799196787148594,0.7439393939393939,0.2359802847754655
resnet50,2,0.989,0.64,0.349,0.9890329012961117,0.7333333333333333,0.2556995679627784
efficientnetv2,2,0.983,0.613,0.37,0.9830508474576272,0.718135469774217,0.2649153776834101
vit,2,0.974,0.687,0.2869999999999999,0.9739478957915831,0.7594158339738662,0.2145320618177169
