model,level,epoch,train_loss,train_accuracy,validation_loss,validation_accuracy,epoch_time_seconds,learning_rate
resnet50,2,2,0.45697210682762995,0.6795555555555556,0.34448144364357,0.936,96.40974579999965,3.9999999999999996e-05
resnet50,2,3,0.3656982892751694,0.7055555555555556,0.27843083238601685,0.965,96.54914740000095,7e-05
resnet50,2,4,0.3361479276551141,0.7491111111111111,0.24416219425201416,0.976,96.63371199999892,0.0001
resnet50,2,5,0.3509115014076233,0.7573333333333333,0.25352749347686765,0.98,96.60192290000123,9.949107209404665e-05
resnet50,2,6,0.32825207561916775,0.7346666666666667,0.2442102382183075,0.985,96.23189289999937,9.797464868072488e-05
resnet50,2,7,0.3261571648783154,0.7386666666666667,0.23140811038017273,0.989,96.46552009999868,9.548159976772592e-05
resnet50,2,8,0.30723441971672905,0.7517777777777778,0.24292543339729308,0.984,97.21447449999687,9.206267664155907e-05
resnet50,2,9,0.31402154260211523,0.7146666666666667,0.24147750449180602,0.988,96.50246850000258,8.778747871771291e-05
resnet50,2,10,0.3011154074403975,0.7113333333333334,0.24394156646728515,0.981,96.02771199999916,8.274303669726426e-05
resnet50,2,11,0.3045251884460449,0.7837777777777778,0.24456307506561278,0.988,96.10467760000029,7.703204087277988e-05
resnet50,2,12,0.3110778258641561,0.764,0.22154622769355775,0.989,96.91350440000315,7.077075065009433e-05
resnet50,2,13,0.3097863156000773,0.7555555555555555,0.23083514547348022,0.988,96.07053070000256,6.408662784207149e-05
efficientnetv2,2,1,0.6416284601953295,0.5944444444444444,0.5858998742103577,0.738,107.1475231000004,1e-05
efficientnetv2,2,2,0.4651799061033461,0.7015555555555556,0.32305931520462033,0.937,96.24913659999947,3.9999999999999996e-05
efficientnetv2,2,3,0.3936333838701248,0.7426666666666667,0.29111011886596677,0.949,95.87570520000008,7e-05
efficientnetv2,2,4,0.35251354744699265,0.7395555555555555,0.2596620759963989,0.969,96.17625989999942,0.0001
efficientnetv2,2,5,0.33135696486632027,0.7593333333333333,0.24687960147857665,0.98,96.35270060000039,9.949107209404665e-05
efficientnetv2,2,6,0.3080706671608819,0.7373333333333333,0.2332736361026764,0.981,96.38116649999938,9.797464868072488e-05
efficientnetv2,2,7,0.3055068275398678,0.7591111111111111,0.2320033061504364,0.987,95.86444870000196,9.548159976772592e-05
efficientnetv2,2,8,0.3179614683787028,0.7513333333333333,0.23471161246299743,0.986,96.56226679999963,9.206267664155907e-05
efficientnetv2,2,9,0.31661834314134385,0.7771111111111111,0.2318311059474945,0.986,95.63740379999945,8.778747871771291e-05
efficientnetv2,2,10,0.3043044005499946,0.7424444444444445,0.23082613801956176,0.984,95.5616818999988,8.274303669726426e-05
efficientnetv2,2,11,0.3136078411075804,0.7688888888888888,0.23328753566741944,0.979,95.62640470000042,7.703204087277988e-05
efficientnetv2,2,12,0.28951274179087744,0.7626666666666667,0.23800375580787658,0.981,96.19674039999882,7.077075065009433e-05
efficientnetv2,2,13,0.2923384494781494,0.7711111111111111,0.24323236656188965,0.979,95.76291349999883,6.408662784207149e-05
vit,2,1,0.49880945301055907,0.6844444444444444,0.31617688536643984,0.941,185.90180910000345,1e-05
vit,2,2,0.36431961880789865,0.7113333333333334,0.2433617317676544,0.979,173.72420580000107,3.9999999999999996e-05
vit,2,3,0.3724105256398519,0.7273333333333334,0.279445476770401,0.963,174.2316138999995,7e-05
vit,2,4,0.37397600061363645,0.7491111111111111,0.2712876068353653,0.961,174.05845369999952,0.0001
vit,2,5,0.37955532823668586,0.7315555555555555,0.2693674154281616,0.962,174.2303385999985,9.949107209404665e-05
vit,2,6,0.36990847888257766,0.7213333333333334,0.2899158922433853,0.942,174.12195520000023,9.797464868072488e-05
vit,2,7,0.3355041586558024,0.7188888888888889,0.28257880902290344,0.954,173.98806289999993,9.548159976772592e-05
vit,2,8,0.336383570154508,0.7608888888888888,0.2605662343502045,0.967,174.05554940000002,9.206267664155907e-05
