model,level,epoch,train_loss,train_accuracy,validation_loss,validation_accuracy,epoch_time_seconds,learning_rate
mobilenetv3,2,1,0.6471036730342441,0.5693333333333334,0.5877804732322693,0.758,223.737806000001,1e-05
mobilenetv3,2,2,0.496049826224645,0.7057777777777777,0.35252783465385434,0.917,209.07461689999764,3.9999999999999996e-05
mobilenetv3,2,3,0.4073675560951233,0.6951111111111111,0.30500280261039736,0.949,220.5094710000012,7e-05
mobilenetv3,2,4,0.3824786091645559,0.7368888888888889,0.2744768056869507,0.964,220.25272760000007,0.0001
mobilenetv3,2,5,0.3570933437877231,0.7204444444444444,0.28624859046936035,0.96,222.10875080000187,9.949107209404665e-05
mobilenetv3,2,6,0.3373762335247464,0.7182222222222222,0.28488823580741884,0.96,222.663336900001,9.797464868072488e-05
mobilenetv3,2,7,0.33179061726729075,0.7251111111111112,0.25293075466156006,0.974,186.59684059999927,9.548159976772592e-05
mobilenetv3,2,8,0.33674269109302096,0.736,0.2600821259021759,0.967,220.79773209999985,9.206267664155907e-05
mobilenetv3,2,9,0.32155693366792465,0.7453333333333333,0.24243467903137206,0.981,209.71734420000212,8.778747871771291e-05
mobilenetv3,2,10,0.32073691520426006,0.7431111111111111,0.25904901933670044,0.97,214.0345457000003,8.274303669726426e-05
mobilenetv3,2,11,0.29737272312906055,0.7206666666666667,0.24285265338420867,0.979,221.12829609999972,7.703204087277988e-05
mobilenetv3,2,12,0.3153744827641381,0.79,0.2537851409912109,0.975,221.46372180000253,7.077075065009433e-05
mobilenetv3,2,13,0.3060904988447825,0.7673333333333333,0.23694159030914308,0.984,219.01584930000172,6.408662784207149e-05
mobilenetv3,2,14,0.28057032283147176,0.7591111111111111,0.24161261415481566,0.976,221.16736539999692,5.711574191366425e-05
mobilenetv3,2,15,0.3126630130873786,0.7351111111111112,0.23596472668647767,0.982,219.05686640000204,5.000000000000001e-05
mobilenetv3,2,16,0.29482876443862915,0.772,0.2332986078262329,0.984,219.39317630000005,4.288425808633574e-05
mobilenetv3,2,17,0.29511565078629387,0.7391111111111112,0.22977851378917694,0.985,105.25550719999956,3.5913372157928504e-05
mobilenetv3,2,18,0.2973694931930966,0.7402222222222222,0.2340402181148529,0.979,90.95604800000001,2.9229249349905677e-05
mobilenetv3,2,19,0.3130924753612942,0.7546666666666667,0.23941199350357056,0.977,89.67417740000019,2.2967959127220133e-05
mobilenetv3,2,20,0.30668024320072595,0.7404444444444445,0.23459377789497377,0.979,88.99988430000303,1.7256963302735748e-05
mobilenetv3,2,21,0.2994415515793694,0.7631111111111111,0.23200465059280395,0.979,96.62067910000042,1.2212521282287092e-05
mobilenetv3,2,22,0.29685699415206906,0.7515555555555555,0.23272459363937378,0.978,126.03895649999686,7.937323358440945e-06
mobilenetv3,2,23,0.2992755461798774,0.7431111111111111,0.23078056454658508,0.981,93.23460669999986,4.518400232274089e-06
resnet50,2,1,0.6488617356088426,0.5837777777777777,0.5973474760055542,0.72,122.67526169999837,1e-05
