model,architecture,best_epoch,best_validation_accuracy,training_time_seconds,average_epoch_time_seconds,total_parameters,trainable_parameters,model_size_mb,flops,macs,peak_gpu_vram_mb_training,peak_ram_mb_training
mobilenetv3,MobileNetV3-Large,17,0.985,4162.260776700001,180.96785985652178,4204594,,,224756384.0,112378192.0,1460.92626953125,1682.73046875
resnet50,ResNet50,7,0.989,1281.1597507000006,98.5507500538462,23512130,,,4109468672.0,2054734336.0,2975.294921875,566.55078125
efficientnetv2,EfficientNetV2-S,7,0.987,1260.2728186999993,96.94406297692302,20180050,,,2876306176.0,1438153088.0,4997.1611328125,836.08984375
vit,ViT-B/16,2,0.979,1404.9551820000015,175.6193977500002,85800194,,,16866646272.0,8433323136.0,4953.69091796875,991.80859375
