epoch,train_loss,train_accuracy,validation_loss,validation_accuracy,epoch_time_seconds,learning_rate
1,0.7385113142331441,0.452,0.6250768818855286,0.72,129.07859759999974,1e-05
2,0.6510110725826688,0.5844444444444444,0.49488456058502195,0.822,88.8322378999992,3.9999999999999996e-05
3,0.5894009908570184,0.6251111111111111,0.42443935585021975,0.862,94.59865429999991,7e-05
4,0.5532302928500705,0.6535555555555556,0.36819973945617673,0.905,91.39493890000085,0.0001
5,0.5174185037612915,0.6462222222222223,0.33422533416748046,0.93,91.80568409999978,9.949107209404665e-05
6,0.5031158831914266,0.6462222222222223,0.3365941004753113,0.921,103.87272309999935,9.797464868072488e-05
7,0.4831194964779748,0.6693333333333333,0.3055106813907623,0.954,101.64050240000051,9.548159976772592e-05
8,0.48059377998775904,0.6868888888888889,0.29940802145004275,0.959,102.13403219999964,9.206267664155907e-05
9,0.46034789458910624,0.6997777777777778,0.2905912432670593,0.962,96.32446879999952,8.778747871771291e-05
10,0.4504566467867957,0.7013333333333334,0.289732213973999,0.962,176.39076419999947,8.274303669726426e-05
11,0.43374209139082165,0.6744444444444444,0.28437779235839844,0.964,207.41820129999996,7.703204087277988e-05
12,0.4482842428419325,0.7388888888888889,0.2870899956226349,0.964,163.4662185999996,7.077075065009433e-05
13,0.4349890259636773,0.7177777777777777,0.27937748312950134,0.967,92.70892350000031,6.408662784207149e-05
14,0.4106399517059326,0.712,0.277934784412384,0.966,90.17172550000032,5.711574191366425e-05
15,0.43177329678005644,0.6888888888888889,0.27910769295692445,0.969,85.16447909999988,5.000000000000001e-05
16,0.4215955828560723,0.7333333333333333,0.27478494238853457,0.971,84.91579460000048,4.288425808633574e-05
17,0.4133898369471232,0.7062222222222222,0.2739946429729462,0.97,86.14037430000008,3.5913372157928504e-05
18,0.417187582148446,0.706,0.2735359377861023,0.97,89.02583980000054,2.9229249349905677e-05
19,0.42878617119789125,0.7122222222222222,0.275544412612915,0.97,85.91960749999998,2.2967959127220133e-05
20,0.428944016456604,0.7086666666666667,0.2711416828632355,0.975,84.7907451000001,1.7256963302735748e-05
21,0.4185619589487712,0.7224444444444444,0.26994456148147583,0.976,87.7105118999998,1.2212521282287092e-05
22,0.41680192481146916,0.7144444444444444,0.27146975421905517,0.973,84.66281069999968,7.937323358440945e-06
23,0.4142250355084737,0.7106666666666667,0.26888171124458315,0.976,85.25989350000054,4.518400232274089e-06
24,0.424308049387402,0.7075555555555556,0.2708158352375031,0.975,100.04650180000044,2.0253513192751314e-06
25,0.4211373857392205,0.7193333333333334,0.27051896500587463,0.974,97.05427619999955,5.089279059533657e-07
