model,level,in_domain_accuracy,cross_generator_accuracy,generalization_gap,in_domain_f1,cross_generator_f1,f1_gap
mobilenetv3,4,0.962,0.787,0.17499999999999993,0.9613821138211383,0.8174807197943444,0.1439013940267938
resnet50,4,0.981,0.706,0.275,0.9810568295114656,0.7706708268330733,0.21038600267839225
efficientnetv2,4,0.979,0.706,0.273,0.978894472361809,0.7692307692307693,0.20966370313103977
vit,4,0.988,0.666,0.32199999999999995,0.9880239520958084,0.7481146304675717,0.23990932162823675
