model,architecture,best_epoch,best_validation_accuracy,training_time_seconds,average_epoch_time_seconds,total_parameters,trainable_parameters,model_size_mb,flops,macs,peak_gpu_vram_mb_training,peak_ram_mb_training
mobilenetv3,MobileNetV3-Large,21,0.976,2601.2365483000003,104.04946193200001,4204594,,,224756384.0,112378192.0,1475.369140625,1684.94921875
resnet50,ResNet50,12,0.987,1954.190512099999,108.56613956111106,23512130,,,4109468672.0,2054734336.0,3075.24072265625,601.2265625
efficientnetv2,EfficientNetV2-S,14,0.972,2512.4012009999988,125.62006004999994,20180050,,,2876306176.0,1438153088.0,5076.71240234375,822.390625
vit,ViT-B/16,18,0.988,21587.9402844,899.49751185,85800194,,,16866646272.0,8433323136.0,5286.6591796875,1065.203125
