epoch,train_loss,train_accuracy,validation_loss,validation_accuracy,epoch_time_seconds,learning_rate
1,0.8732485668394301,0.4031111111111111,0.6143343505859375,0.715,650.2235711000012,1e-05
2,0.6511184713575575,0.572,0.4357214751243591,0.841,849.1675092000005,3.9999999999999996e-05
3,0.6057977146307627,0.6168888888888889,0.34170253586769106,0.934,962.4381649999996,7e-05
4,0.5297364032533434,0.678,0.2932117414474487,0.961,910.4151616999989,0.0001
5,0.46410783317353993,0.6868888888888889,0.26460662055015566,0.968,963.7085803999998,9.949107209404665e-05
6,0.4385704523457421,0.6848888888888889,0.25143707609176635,0.973,942.1360435000024,9.797464868072488e-05
7,0.3896902956432766,0.6962222222222222,0.25140967988967894,0.972,877.1870046000004,9.548159976772592e-05
8,0.389160721566942,0.7384444444444445,0.23638589715957642,0.981,948.6947250999983,9.206267664155907e-05
9,0.40182505906952753,0.7324444444444445,0.2347290666103363,0.978,877.4155781000009,8.778747871771291e-05
10,0.3668061980141534,0.7304444444444445,0.23277901244163512,0.981,873.0534450999985,8.274303669726426e-05
11,0.36006532650523715,0.7457777777777778,0.23914314508438111,0.981,915.8641156000012,7.703204087277988e-05
12,0.35464333226945666,0.7215555555555555,0.23565550935268403,0.977,873.2982628999998,7.077075065009433e-05
13,0.36070417637295193,0.7473333333333333,0.22960195899009705,0.985,881.7511637999996,6.408662784207149e-05
14,0.3558718650341034,0.7708888888888888,0.22837947869300843,0.984,984.7959181000006,5.711574191366425e-05
15,0.3425463888115353,0.7517777777777778,0.22778688025474547,0.986,850.132353099998,5.000000000000001e-05
16,0.3463072263929579,0.7415555555555555,0.2278117160797119,0.984,872.9046718999998,4.288425808633574e-05
17,0.3379391899506251,0.7544444444444445,0.2270719336271286,0.986,882.7935603999977,3.5913372157928504e-05
18,0.33340467829174464,0.732,0.22454016590118409,0.988,971.0378591000008,2.9229249349905677e-05
19,0.3442707697682911,0.7437777777777778,0.22455003452301026,0.984,851.5307004999995,2.2967959127220133e-05
20,0.35421868329577977,0.7393333333333333,0.22449762034416199,0.986,1019.8268456000005,1.7256963302735748e-05
21,0.3272104966243108,0.7266666666666667,0.2237530872821808,0.987,863.9383012000035,1.2212521282287092e-05
22,0.3245486146344079,0.7702222222222223,0.22391279053688048,0.985,923.4613733000006,7.937323358440945e-06
23,0.3309291592174106,0.7617777777777778,0.22396432089805604,0.985,966.2648157000003,4.518400232274089e-06
24,0.32451176397005715,0.7608888888888888,0.22414815497398377,0.985,872.5669061000008,2.0253513192751314e-06
