model,condition,number_of_images,confusion_matrix,accuracy,precision,recall,f1_score,roc_auc,total_inference_time_seconds,inference_latency_ms_per_image,throughput_images_per_second,peak_gpu_vram_mb_inference,baseline_ram_mb_inference,peak_ram_mb_inference,peak_ram_delta_mb_inference
mobilenetv3,in_domain,1000,"[[488, 12], [6, 494]]",0.982,0.976284585,0.988,0.982107356,0.997408,3.7090451,3.7090451,269.611173,263.2124023,1159.769531,1224.746094,64.9765625
mobilenetv3,cross_generator,1000,"[[69, 431], [2, 498]]",0.567,0.53606028,0.996,0.696990903,0.844766,2.4320335,2.4320335,411.1785467,263.2124023,1218.207031,1236.613281,18.40625
resnet50,in_domain,1000,"[[493, 7], [7, 493]]",0.986,0.986,0.986,0.986,0.997986,3.17144,3.17144,315.314179,435.4301758,1255.242188,1272.945313,17.703125
resnet50,cross_generator,1000,"[[138, 362], [5, 495]]",0.633,0.577596266,0.99,0.729550479,0.88133,4.0272023,4.0272023,248.3113401,435.4301758,1310.066406,1325.222656,15.15625
efficientnetv2,in_domain,1000,"[[490, 10], [4, 496]]",0.986,0.980237154,0.992,0.986083499,0.998616,3.3638763,3.3638763,297.2760919,308.5625,1324.25,1342.054688,17.8046875
efficientnetv2,cross_generator,1000,"[[103, 397], [4, 496]]",0.599,0.555431131,0.992,0.712132089,0.89992,3.3324322,3.3324322,300.0811239,308.5625,1307.773438,1320.828125,13.0546875
vit,in_domain,1000,"[[486, 14], [26, 474]]",0.96,0.971311475,0.948,0.95951417,0.99558,11.6040416,11.6040416,86.17687134,594.1484375,1276.097656,1294.882813,18.78515625
vit,cross_generator,1000,"[[132, 368], [26, 474]]",0.606,0.562945368,0.948,0.706408346,0.791424,11.5833966,11.5833966,86.33046373,594.1484375,1554.199219,1572.390625,18.19140625
