model,level,epoch,train_loss,train_accuracy,validation_loss,validation_accuracy,epoch_time_seconds,learning_rate
mobilenetv3,1,1,0.3223013672033946,0.8555555555555555,0.1375700385570526,0.949,109.14123599999948,0.0001
mobilenetv3,1,2,0.12843140417337418,0.9495555555555556,0.07483157923817635,0.973,94.29517909999959,9.96057350657239e-05
mobilenetv3,1,3,0.08856572358144654,0.9697777777777777,0.08760753027210012,0.965,121.44915599999877,9.842915805643155e-05
mobilenetv3,1,4,0.06422635058437784,0.9791111111111112,0.07771098569780588,0.969,204.3254990000005,9.648882429441257e-05
mobilenetv3,1,5,0.05195163125565482,0.9824444444444445,0.09621343332063406,0.964,211.01890450000064,9.381533400219318e-05
mobilenetv3,1,6,0.03038189130752451,0.9877777777777778,0.0853042831447674,0.977,171.40084790000037,9.045084971874738e-05
mobilenetv3,1,7,0.03245069758304938,0.9888888888888889,0.05604300414264435,0.983,168.2641781000002,8.644843137107059e-05
mobilenetv3,1,8,0.034815033647787964,0.9884444444444445,0.060512305760814344,0.981,217.23753640000177,8.18711994874345e-05
mobilenetv3,1,9,0.02528509666098075,0.9904444444444445,0.06610984665181605,0.981,215.55656610000005,7.679133974894983e-05
mobilenetv3,1,10,0.015558695633669331,0.9955555555555555,0.09306731463374127,0.971,213.96045370000138,7.128896457825363e-05
mobilenetv3,1,11,0.017506226319082392,0.994,0.08252226852380136,0.983,214.67222369999945,6.545084971874737e-05
mobilenetv3,1,12,0.016758739099016463,0.9955555555555555,0.09258717972683371,0.98,217.4941889999991,5.936906572928624e-05
mobilenetv3,1,13,0.016249501840887307,0.9946666666666667,0.09389901542751432,0.983,213.9534122999994,5.313952597646568e-05
resnet50,1,1,0.27942949041393067,0.8837777777777778,0.0953697806596756,0.965,242.1408148999999,0.0001
resnet50,1,2,0.10355825929178132,0.9624444444444444,0.05343670791760087,0.984,209.27920529999938,9.96057350657239e-05
resnet50,1,3,0.06985740326676104,0.976,0.07367720404081046,0.973,96.19309659999999,9.842915805643155e-05
resnet50,1,4,0.05016801005974412,0.9806666666666667,0.066359085932374,0.98,98.74110680000013,9.648882429441257e-05
resnet50,1,5,0.03612391259252197,0.9868888888888889,0.043497928093653174,0.984,98.36978540000018,9.381533400219318e-05
resnet50,1,6,0.028466249187890855,0.9888888888888889,0.05058859488321468,0.984,97.83724070000062,9.045084971874738e-05
resnet50,1,7,0.02495877861821403,0.9911111111111112,0.05267720710404683,0.982,96.2999052999985,8.644843137107059e-05
resnet50,1,8,0.028014816309092565,0.9915555555555555,0.04296220407437067,0.983,97.57083169999896,8.18711994874345e-05
efficientnetv2,1,1,0.28832664659288193,0.8791111111111111,0.081751350492239,0.975,109.96886180000001,0.0001
efficientnetv2,1,2,0.10923229100306829,0.9615555555555556,0.059426668647676706,0.979,98.76486130000012,9.96057350657239e-05
efficientnetv2,1,3,0.06195125870592892,0.9755555555555555,0.0549291432807222,0.978,97.65638010000112,9.842915805643155e-05
efficientnetv2,1,4,0.04935469021415338,0.9826666666666667,0.06882760091964156,0.976,97.223633900001,9.648882429441257e-05
efficientnetv2,1,5,0.03821201856843092,0.9862222222222222,0.04780246010236442,0.982,97.70514679999906,9.381533400219318e-05
efficientnetv2,1,6,0.035620597826420436,0.9897777777777778,0.050921810702886434,0.98,97.23122209999929,9.045084971874738e-05
efficientnetv2,1,7,0.02063459739728003,0.9937777777777778,0.05542438207636587,0.983,97.40939609999987,8.644843137107059e-05
efficientnetv2,1,8,0.015156299992930144,0.9955555555555555,0.059871844059671275,0.981,97.4847522,8.18711994874345e-05
efficientnetv2,1,9,0.02006299052110666,0.9931111111111111,0.04912720966793131,0.989,97.87787690000005,7.679133974894983e-05
efficientnetv2,1,10,0.012287720518225494,0.9966666666666667,0.0513875391863985,0.99,142.96307160000106,7.128896457825363e-05
efficientnetv2,1,11,0.0067778871497721415,0.9977777777777778,0.05457037323247641,0.99,205.38574150000022,6.545084971874737e-05
efficientnetv2,1,12,0.015050536209911418,0.9951111111111111,0.06871516054414678,0.987,95.89741170000161,5.936906572928624e-05
efficientnetv2,1,13,0.0058412365745817724,0.9984444444444445,0.04554589617694728,0.99,164.41250369999943,5.313952597646568e-05
