model,level,in_domain_accuracy,cross_generator_accuracy,generalization_gap,in_domain_f1,cross_generator_f1,f1_gap
mobilenetv3,1,0.975,0.612,0.363,0.9748237663645518,0.7180232558139535,0.25680051055059827
resnet50,1,0.974,0.758,0.21599999999999997,0.973630831643002,0.802610114192496,0.17102071745050607
efficientnetv2,1,0.99,0.579,0.41100000000000003,0.9899799599198397,0.7020523708421798,0.2879275890776599
vit,1,0.97,0.643,0.32699999999999996,0.9701195219123506,0.7337807606263982,0.23633876128595244
