epoch,train_loss,train_accuracy,validation_loss,validation_accuracy,epoch_time_seconds,learning_rate
1,0.28832664659288193,0.8791111111111111,0.081751350492239,0.975,109.96886180000001,0.0001
2,0.10923229100306829,0.9615555555555556,0.059426668647676706,0.979,98.76486130000012,9.96057350657239e-05
3,0.06195125870592892,0.9755555555555555,0.0549291432807222,0.978,97.65638010000112,9.842915805643155e-05
4,0.04935469021415338,0.9826666666666667,0.06882760091964156,0.976,97.223633900001,9.648882429441257e-05
5,0.03821201856843092,0.9862222222222222,0.04780246010236442,0.982,97.70514679999906,9.381533400219318e-05
6,0.035620597826420436,0.9897777777777778,0.050921810702886434,0.98,97.23122209999929,9.045084971874738e-05
7,0.02063459739728003,0.9937777777777778,0.05542438207636587,0.983,97.40939609999987,8.644843137107059e-05
8,0.015156299992930144,0.9955555555555555,0.059871844059671275,0.981,97.4847522,8.18711994874345e-05
9,0.02006299052110666,0.9931111111111111,0.04912720966793131,0.989,97.87787690000005,7.679133974894983e-05
10,0.012287720518225494,0.9966666666666667,0.0513875391863985,0.99,142.96307160000106,7.128896457825363e-05
11,0.0067778871497721415,0.9977777777777778,0.05457037323247641,0.99,205.38574150000022,6.545084971874737e-05
12,0.015050536209911418,0.9951111111111111,0.06871516054414678,0.987,95.89741170000161,5.936906572928624e-05
13,0.0058412365745817724,0.9984444444444445,0.04554589617694728,0.99,164.41250369999943,5.313952597646568e-05
14,0.0030612277462043697,0.9984444444444445,0.04972894330097188,0.99,142.72476760000063,4.6860474023534335e-05
15,0.00443530764402951,0.9988888888888889,0.052723236723177254,0.99,128.46611250000024,4.0630934270713774e-05
16,0.0034038153206961902,0.9986666666666667,0.055950624902092384,0.99,123.64528390000123,3.454915028125265e-05
