epoch,train_loss,train_accuracy,validation_loss,validation_accuracy,epoch_time_seconds,learning_rate
1,0.7287372361818949,0.44955555555555554,0.6725470781326294,0.603,138.20695250000063,1e-05
2,0.6893319676717122,0.5451111111111111,0.598425238609314,0.754,124.39763800000037,3.9999999999999996e-05
3,0.628684534602695,0.6188888888888889,0.5018485255241394,0.813,124.95018499999969,7e-05
4,0.5676391020350986,0.6386666666666667,0.4202792108058929,0.865,124.54795280000144,0.0001
5,0.5127109680175781,0.6748888888888889,0.35375136137008667,0.911,124.75549990000036,9.949107209404665e-05
6,0.4717258734703064,0.6733333333333333,0.31919802737236025,0.926,124.84331480000037,9.797464868072488e-05
7,0.4581464169290331,0.6991111111111111,0.3009863619804382,0.947,124.873108400001,9.548159976772592e-05
8,0.4546690281232198,0.7002222222222222,0.2954700956344605,0.947,124.61626410000099,9.206267664155907e-05
9,0.441720660633511,0.7273333333333334,0.27885368514060976,0.961,124.71875240000008,8.778747871771291e-05
10,0.4250119531419542,0.7011111111111111,0.26992004704475403,0.966,124.73360870000033,8.274303669726426e-05
11,0.42915707908736334,0.716,0.285814875125885,0.951,124.56033910000042,7.703204087277988e-05
12,0.40784948386086356,0.7126666666666667,0.2627888193130493,0.969,124.76246270000047,7.077075065009433e-05
13,0.40460258218977185,0.7235555555555555,0.269683616399765,0.962,124.85639739999897,6.408662784207149e-05
14,0.3933769280115763,0.7257777777777777,0.2529878530502319,0.972,125.60549880000144,5.711574191366425e-05
15,0.3926863047546811,0.7315555555555555,0.2634586155414581,0.966,124.80387719999999,5.000000000000001e-05
16,0.37867510652542113,0.7135555555555556,0.2519105098247528,0.972,124.56603059999907,4.288425808633574e-05
17,0.3937720321814219,0.7411111111111112,0.2648066744804382,0.965,125.02940160000071,3.5913372157928504e-05
18,0.396066026740604,0.7111111111111111,0.25771476817131045,0.967,124.79265730000043,2.9229249349905677e-05
19,0.37649391441875035,0.7328888888888889,0.25857584953308105,0.967,124.7229256999999,2.2967959127220133e-05
20,0.38244576138920255,0.7028888888888889,0.259896990776062,0.967,126.50028240000029,1.7256963302735748e-05
