epoch,train_loss,train_accuracy,validation_loss,validation_accuracy,epoch_time_seconds
1,0.24419486950503455,0.9031111111111111,0.07244728475809098,0.975,104.51471310000034
2,0.06997571725977791,0.9744444444444444,0.03787155878543854,0.99,94.52898090000053
3,0.04069556814514928,0.9868888888888889,0.054865040976554154,0.981,93.32219579999946
4,0.032224144557283986,0.9888888888888889,0.08070005008403677,0.977,95.83116309999969
5,0.028538488017602098,0.9922222222222222,0.02228018170874566,0.991,93.90807799999948
6,0.016125023499338163,0.9948888888888889,0.045793412975035606,0.984,95.45877939999991
7,0.01513004513307371,0.9951111111111111,0.045494819248095154,0.988,91.74012370000037
8,0.018926473922924035,0.9948888888888889,0.038676225946866906,0.987,91.93254859999979
9,0.013786786092962655,0.9957777777777778,0.03726489126565866,0.986,90.91208580000057
10,0.017402037752585277,0.9942222222222222,0.031494795902632176,0.987,90.4844049000003
