epoch,train_loss,train_accuracy,validation_loss,validation_accuracy,epoch_time_seconds,learning_rate
1,0.6700548076099819,0.5462222222222223,0.6376287307739258,0.695,106.15664249999827,1e-05
2,0.5729953526920742,0.6657777777777778,0.5092222170829773,0.795,93.5459891999999,3.9999999999999996e-05
3,0.5051043448713091,0.6537777777777778,0.42650133895874026,0.862,93.4748925999993,7e-05
4,0.4718284672631158,0.6902222222222222,0.37314491128921506,0.898,166.69534740000017,0.0001
5,0.4440501404868232,0.6844444444444444,0.34104365825653077,0.927,96.19675950000237,9.949107209404665e-05
6,0.4224526934093899,0.6915555555555556,0.3371108045578003,0.926,99.50974950000091,9.797464868072488e-05
7,0.41227128020922343,0.694,0.3157887239456177,0.943,97.84087530000033,9.548159976772592e-05
8,0.4131892343097263,0.71,0.31184807658195496,0.945,96.90135459999874,9.206267664155907e-05
9,0.39599988741344877,0.7204444444444444,0.30367057752609256,0.952,126.42323939999915,8.778747871771291e-05
10,0.3960898127555847,0.7184444444444444,0.3104201462268829,0.949,105.07955769999899,8.274303669726426e-05
11,0.3740645398563809,0.702,0.29575818943977356,0.959,109.5270015999995,7.703204087277988e-05
12,0.3861706506676144,0.7702222222222223,0.30681131315231325,0.953,107.67252809999991,7.077075065009433e-05
13,0.37581851895650226,0.7464444444444445,0.28969062280654906,0.964,106.65681030000269,6.408662784207149e-05
14,0.3477911325030857,0.7364444444444445,0.28890449261665346,0.965,112.83176239999739,5.711574191366425e-05
15,0.37638977087868586,0.7166666666666667,0.284019517660141,0.968,107.2976781000034,5.000000000000001e-05
16,0.3578173202938504,0.7515555555555555,0.2823536837100983,0.966,106.83272479999869,4.288425808633574e-05
17,0.3633374640279346,0.7242222222222222,0.2814043562412262,0.966,104.35941029999958,3.5913372157928504e-05
18,0.3614784409999847,0.7208888888888889,0.2854677972793579,0.967,110.12997280000127,2.9229249349905677e-05
19,0.37615276940663656,0.7346666666666667,0.28855097460746765,0.966,105.92355610000232,2.2967959127220133e-05
20,0.37109139580196804,0.7275555555555555,0.2829853963851929,0.971,106.16836350000085,1.7256963302735748e-05
21,0.3633420428170098,0.7442222222222222,0.28009876084327695,0.971,109.92743609999889,1.2212521282287092e-05
22,0.3626768519083659,0.7315555555555555,0.28092723059654234,0.972,109.47177139999985,7.937323358440945e-06
23,0.3627412680784861,0.7297777777777777,0.2805227932929993,0.971,102.45601449999958,4.518400232274089e-06
24,0.36961562389797636,0.7413333333333333,0.28095803809165953,0.971,98.7598039000004,2.0253513192751314e-06
25,0.36479732667075265,0.7411111111111112,0.28084254717826845,0.971,100.90862170000037,5.089279059533657e-07
