epoch,train_loss,train_accuracy,validation_loss,validation_accuracy,epoch_time_seconds
1,0.330466412835651,0.8482222222222222,0.1283733603954315,0.944,183.0015585000001
2,0.12021739566988415,0.9562222222222222,0.12809474325180054,0.945,171.4916118000001
3,0.09056027748187383,0.9653333333333334,0.11589430066943168,0.955,171.68765819999953
4,0.06597233351982303,0.9766666666666667,0.09107767666131258,0.968,175.9203748
5,0.056050933084554146,0.9797777777777777,0.09517528902739286,0.965,174.59351549999974
6,0.05819036682612366,0.9793333333333333,0.12591029748506843,0.963,172.87351469999976
7,0.05348379194488128,0.9795555555555555,0.13748891209065914,0.952,172.04724139999962
8,0.07125906435979737,0.9724444444444444,0.1238371355086565,0.961,172.00225779999982
9,0.052070006211184794,0.98,0.16049377149436622,0.94,172.01765729999988
