model,condition,number_of_images,confusion_matrix,accuracy,precision,recall,f1_score,roc_auc,total_inference_time_seconds,inference_latency_ms_per_image,throughput_images_per_second,peak_gpu_vram_mb_inference,baseline_ram_mb_inference,peak_ram_mb_inference,peak_ram_delta_mb_inference
mobilenetv3,in_domain,1000,"[[489, 11], [27, 473]]",0.962,0.9772727272727273,0.946,0.9613821138211383,0.994984,2.1328369999901042,2.1328369999901042,468.8590829982037,263.21240234375,1160.8203125,1220.1875,59.3671875
mobilenetv3,cross_generator,1000,"[[310, 190], [23, 477]]",0.787,0.7151424287856072,0.954,0.8174807197943444,0.923388,2.345106599997962,2.345106599997962,426.4198480362765,263.21240234375,1219.96484375,1237.3046875,17.33984375
resnet50,in_domain,1000,"[[489, 11], [8, 492]]",0.981,0.9781312127236581,0.984,0.9810568295114656,0.9975799999999999,3.031533600020339,3.031533600020339,329.8660453551598,435.43017578125,1310.81640625,1326.9765625,16.16015625
resnet50,cross_generator,1000,"[[212, 288], [6, 494]]",0.706,0.6317135549872123,0.988,0.7706708268330733,0.922212,3.1924247000351897,3.1924247000351897,313.2415307991374,435.43017578125,1321.33203125,1336.33203125,15.0
efficientnetv2,in_domain,1000,"[[492, 8], [13, 487]]",0.979,0.9838383838383838,0.974,0.978894472361809,0.997876,3.255483600019943,3.255483600019943,307.17402477280916,308.5625,1353.91796875,1368.85546875,14.9375
efficientnetv2,cross_generator,1000,"[[216, 284], [10, 490]]",0.706,0.6330749354005168,0.98,0.7692307692307693,0.883464,3.2668955999761238,3.2668955999761238,306.10099692420795,308.5625,1317.0625,1333.0,15.9375
vit,in_domain,1000,"[[493, 7], [5, 495]]",0.988,0.9860557768924303,0.99,0.9880239520958084,0.9988279999999999,11.45464180001727,11.45464180001727,87.30085300428095,594.1484375,1526.60546875,1545.1875,18.58203125
vit,cross_generator,1000,"[[170, 330], [4, 496]]",0.666,0.6004842615012107,0.992,0.7481146304675717,0.823892,11.656618699998944,11.656618699998944,85.78817114435515,594.1484375,1547.2578125,1565.66796875,18.41015625
