model,condition,number_of_images,confusion_matrix,accuracy,precision,recall,f1_score,roc_auc,total_inference_time_seconds,inference_latency_ms_per_image,throughput_images_per_second,peak_gpu_vram_mb_inference,baseline_ram_mb_inference,peak_ram_mb_inference,peak_ram_delta_mb_inference
mobilenetv3,in_domain,1000,"[[491, 9], [16, 484]]",0.975,0.981744422,0.968,0.974823766,0.997112,2.4902523,2.4902523,401.5657369,263.2124023,1159.640625,1219.230469,59.58984375
mobilenetv3,cross_generator,1000,"[[118, 382], [6, 494]]",0.612,0.563926941,0.988,0.718023256,0.839896,2.0627294,2.0627294,484.7945639,263.2124023,1219.03125,1236.894531,17.86328125
resnet50,in_domain,1000,"[[494, 6], [20, 480]]",0.974,0.987654321,0.96,0.973630832,0.997688,3.2243835,3.2243835,310.136806,435.4301758,1238.589844,1256.773438,18.18359375
resnet50,cross_generator,1000,"[[266, 234], [8, 492]]",0.758,0.67768595,0.984,0.802610114,0.907428,3.1850499,3.1850499,313.9668236,435.4301758,1310.367188,1322.613281,12.24609375
efficientnetv2,in_domain,1000,"[[496, 4], [6, 494]]",0.99,0.991967871,0.988,0.98997996,0.998388,3.373995,3.373995,296.384553,308.5625,1349.015625,1363.464844,14.44921875
efficientnetv2,cross_generator,1000,"[[83, 417], [4, 496]]",0.579,0.543263965,0.992,0.702052371,0.882384,3.3502975,3.3502975,298.4809558,308.5625,1314.457031,1332.863281,18.40625
vit,in_domain,1000,"[[483, 17], [13, 487]]",0.97,0.966269841,0.974,0.970119522,0.995704,11.6485972,11.6485972,85.84724691,594.1484375,1525.351563,1544.101563,18.75
vit,cross_generator,1000,"[[151, 349], [8, 492]]",0.643,0.585017836,0.984,0.733780761,0.867942,11.6547379,11.6547379,85.80201533,594.1484375,1518.574219,1536.324219,17.75
