model,condition,number_of_images,confusion_matrix,accuracy,precision,recall,f1_score,roc_auc,total_inference_time_seconds,inference_latency_ms_per_image,throughput_images_per_second,peak_gpu_vram_mb_inference,baseline_ram_mb_inference,peak_ram_mb_inference,peak_ram_delta_mb_inference
mobilenetv3,in_domain,1000,"[[490, 10], [30, 470]]",0.96,0.979166667,0.94,0.959183673,0.992132,2.0317236,2.0317236,492.1929341,263.2124023,1159.003906,1225.15625,66.15234375
mobilenetv3,cross_generator,1000,"[[302, 198], [24, 476]]",0.778,0.706231454,0.952,0.810902896,0.914388,1.5470317,1.5470317,646.3991656,263.2124023,1222.992188,1240.585938,17.59375
resnet50,in_domain,1000,"[[493, 7], [24, 476]]",0.969,0.985507246,0.952,0.968463886,0.996292,3.2099837,3.2099837,311.5280617,435.4301758,1246.480469,1262.53125,16.05078125
resnet50,cross_generator,1000,"[[288, 212], [20, 480]]",0.768,0.693641618,0.96,0.805369128,0.913432,3.2447508,3.2447508,308.1900773,435.4301758,1309.078125,1327.222656,18.14453125
efficientnetv2,in_domain,1000,"[[494, 6], [24, 476]]",0.97,0.987551867,0.952,0.969450102,0.997008,3.3573985,3.3573985,297.8496595,308.5625,1348.5,1365.347656,16.84765625
efficientnetv2,cross_generator,1000,"[[252, 248], [20, 480]]",0.732,0.659340659,0.96,0.781758958,0.883836,3.3458584,3.3458584,298.8769638,308.5625,1350.039063,1363.734375,13.6953125
vit,in_domain,1000,"[[493, 7], [10, 490]]",0.983,0.985915493,0.98,0.982948847,0.997432,11.4358944,11.4358944,87.4439694,594.1484375,1506.703125,1523.542969,16.83984375
vit,cross_generator,1000,"[[214, 286], [8, 492]]",0.706,0.632390746,0.984,0.769953052,0.697048,11.5993709,11.5993709,86.21157204,594.1484375,1526.019531,1544.199219,18.1796875
