epoch,train_loss,train_accuracy,validation_loss,validation_accuracy,epoch_time_seconds,learning_rate
1,0.6570845546722413,0.5684444444444444,0.5700408568382264,0.757,197.1358775999979,1e-05
2,0.4692532095644209,0.674,0.3370918395519257,0.926,175.53076399999554,3.9999999999999996e-05
3,0.3789847721391254,0.728,0.2775931015014648,0.967,175.0271369999973,7e-05
4,0.3519752066002952,0.7548888888888889,0.2506997470855713,0.972,174.7686285000018,0.0001
5,0.3273419736756219,0.7431111111111111,0.24178374707698821,0.977,174.47222299999703,9.949107209404665e-05
6,0.3264596027268304,0.7357777777777778,0.24791731882095336,0.969,177.24215859999822,9.797464868072488e-05
7,0.30314763302273223,0.728,0.28725017499923705,0.947,175.5466407999993,9.548159976772592e-05
8,0.304313503159417,0.7744444444444445,0.2413603754043579,0.973,175.32900130000053,9.206267664155907e-05
9,0.32932705177201166,0.7533333333333333,0.23276849126815796,0.979,175.34665519999544,8.778747871771291e-05
10,0.3016611598332723,0.7526666666666667,0.2878885307312012,0.952,175.45813590000034,8.274303669726426e-05
11,0.2976191324657864,0.766,0.2243661756515503,0.988,175.10308179999993,7.703204087277988e-05
12,0.2925757824314965,0.7408888888888889,0.23288901472091675,0.982,175.35391320000053,7.077075065009433e-05
13,0.30603704901536305,0.7664444444444445,0.22792283177375794,0.985,175.20100129999628,6.408662784207149e-05
14,0.3056901161140866,0.786,0.2514823508262634,0.971,175.5122257000039,5.711574191366425e-05
15,0.29626712793774074,0.7673333333333333,0.23209025955200197,0.981,175.33609469999647,5.000000000000001e-05
16,0.29355500711335075,0.7582222222222222,0.2314666016101837,0.982,175.43849339999724,4.288425808633574e-05
17,0.2922016021543079,0.7711111111111111,0.23091808128356933,0.982,174.56539859999612,3.5913372157928504e-05
