epoch,train_loss,train_accuracy,validation_loss,validation_accuracy,epoch_time_seconds,learning_rate
1,0.49880945301055907,0.6844444444444444,0.31617688536643984,0.941,185.90180910000345,1e-05
2,0.36431961880789865,0.7113333333333334,0.2433617317676544,0.979,173.72420580000107,3.9999999999999996e-05
3,0.3724105256398519,0.7273333333333334,0.279445476770401,0.963,174.2316138999995,7e-05
4,0.37397600061363645,0.7491111111111111,0.2712876068353653,0.961,174.05845369999952,0.0001
5,0.37955532823668586,0.7315555555555555,0.2693674154281616,0.962,174.2303385999985,9.949107209404665e-05
6,0.36990847888257766,0.7213333333333334,0.2899158922433853,0.942,174.12195520000023,9.797464868072488e-05
7,0.3355041586558024,0.7188888888888889,0.28257880902290344,0.954,173.98806289999993,9.548159976772592e-05
8,0.336383570154508,0.7608888888888888,0.2605662343502045,0.967,174.05554940000002,9.206267664155907e-05
