epoch,train_loss,train_accuracy,validation_loss,validation_accuracy,epoch_time_seconds,learning_rate
1,0.3223013672033946,0.8555555555555555,0.1375700385570526,0.949,109.14123599999948,0.0001
2,0.12843140417337418,0.9495555555555556,0.07483157923817635,0.973,94.29517909999959,9.96057350657239e-05
3,0.08856572358144654,0.9697777777777777,0.08760753027210012,0.965,121.44915599999877,9.842915805643155e-05
4,0.06422635058437784,0.9791111111111112,0.07771098569780588,0.969,204.3254990000005,9.648882429441257e-05
5,0.05195163125565482,0.9824444444444445,0.09621343332063406,0.964,211.01890450000064,9.381533400219318e-05
6,0.03038189130752451,0.9877777777777778,0.0853042831447674,0.977,171.40084790000037,9.045084971874738e-05
7,0.03245069758304938,0.9888888888888889,0.05604300414264435,0.983,168.2641781000002,8.644843137107059e-05
8,0.034815033647787964,0.9884444444444445,0.060512305760814344,0.981,217.23753640000177,8.18711994874345e-05
9,0.02528509666098075,0.9904444444444445,0.06610984665181605,0.981,215.55656610000005,7.679133974894983e-05
10,0.015558695633669331,0.9955555555555555,0.09306731463374127,0.971,213.96045370000138,7.128896457825363e-05
11,0.017506226319082392,0.994,0.08252226852380136,0.983,214.67222369999945,6.545084971874737e-05
12,0.016758739099016463,0.9955555555555555,0.09258717972683371,0.98,217.4941889999991,5.936906572928624e-05
13,0.016249501840887307,0.9946666666666667,0.09389901542751432,0.983,213.9534122999994,5.313952597646568e-05
