epoch,train_loss,train_accuracy,validation_loss,validation_accuracy,epoch_time_seconds,learning_rate
1,0.27942949041393067,0.8837777777777778,0.0953697806596756,0.965,242.1408148999999,0.0001
2,0.10355825929178132,0.9624444444444444,0.05343670791760087,0.984,209.27920529999938,9.96057350657239e-05
3,0.06985740326676104,0.976,0.07367720404081046,0.973,96.19309659999999,9.842915805643155e-05
4,0.05016801005974412,0.9806666666666667,0.066359085932374,0.98,98.74110680000013,9.648882429441257e-05
5,0.03612391259252197,0.9868888888888889,0.043497928093653174,0.984,98.36978540000018,9.381533400219318e-05
6,0.028466249187890855,0.9888888888888889,0.05058859488321468,0.984,97.83724070000062,9.045084971874738e-05
7,0.02495877861821403,0.9911111111111112,0.05267720710404683,0.982,96.2999052999985,8.644843137107059e-05
8,0.028014816309092565,0.9915555555555555,0.04296220407437067,0.983,97.57083169999896,8.18711994874345e-05
